9609,Other personal service activities n.e.c.
4311,Accounting and bookkeeping clerks
2655,Actors
3343,Administrative and executive secretaries
2431,Advertising and marketing professionals
1222,Advertising and public relations managers
1343,Aged care services managers
3142,Agricultural technicians
7127,Air conditioning and refrigeration mechanics
3155,Air traffic safety electronics technicians
7232,Aircraft engine mechanics and repairers
3153,Aircraft pilots and related associate professionals
6123,Apiarists and sericulturists
6221,Aquaculture workers
0310,"Armed forces occupations, other ranks"
5161,"Astrologers, fortune-tellers and related workers"
3421,Athletes and sports players
7512,"Bakers, pastry-cooks and confectionery makers"
4211,Bank tellers and related clerks
5132,Bartenders
5142,Beauticians and related workers
7234,Bicycle and related repairers
2131,"Biologists, botanists, zoologists and related professionals"
8154,"Bleaching, dyeing and fabric cleaning machine operators"
2161,Building architects
7119,Building frame and related trades workers not elsewhere classified
7133,Building structure cleaners
3339,Business services agents not elsewhere classified
1219,Business services and administration managers not elsewhere classified
7522,Cabinet-makers and related workers
8322,"Car, taxi and van drivers"
2165,Cartographers and surveyors
8114,"Cement, stone and other mineral products machine operators"
3116,Chemical engineering technicians
2113,Chemists
1341,Child care services managers
9312,Civil engineering labourers
3112,Civil engineering technicians
2142,Civil engineers
3331,Clearing and forwarding agents
4419,Clerical support workers not elsewhere classified
4229,Client information workers not elsewhere classified
4413,"Coding, proof-reading and related clerks"
3322,Commercial sales representatives
0110,Commissioned armed forces officers
3253,Community health workers
3513,Computer network and systems technicians
7114,"Concrete placers, concrete finishers and related workers"
1323,Construction managers
3123,Construction supervisors
4222,Contact centre information clerks
5120,Cooks
2659,Creative and performing artists not elsewhere classified
3312,Credit and loans officers
9211,Crop farm labourers
3351,Customs and border inspectors
2653,Dancers and choreographers
4214,Debt-collectors and related workers
6223,Deep-sea fishery workers
2261,Dentists
2265,Dieticians and nutritionists
9111,Domestic cleaners and helpers
5152,Domestic housekeepers
5243,Door to door salespersons
3118,Draughts persons
9332,Drivers of animal-drawn vehicles and machinery
5165,Driving instructors
2342,Early childhood educators
8342,Earthmoving and related plant operators
1345,Education managers
8212,Electrical and electronic equipment assemblers
7412,Electrical mechanics and fitters
3114,Electronics engineering technicians
2152,Electronics engineers
9629,Elementary workers not elsewhere classified
3333,Employment agents and contractors
2149,Engineering professionals not elsewhere classified
2263,Environmental and occupational health and hygiene professionals
3257,Environmental and occupational health inspectors and associates
2133,Environmental protection professionals
5241,Fashion and other models
9411,Fast food preparers
8151,"Fibre preparing, spinning and winding machine operators"
4415,Filing and copying clerks
1211,Finance managers
2412,Financial and investment advisers
5411,Fire-fighters
9216,Fishery and aquaculture labourers
3423,Fitness and recreation instructors and program leaders
7122,Floor layers and tile setters
8160,Food and related products machine operators
5246,Food service counter attendants
9998,Free time activities
7514,"Fruit, vegetable and related preservers"
7544,Fumigators and other pest and weed controllers
3433,"Gallery, museum and library technicians"
9611,Garbage and recycling collectors
9214,Garden and horticultural labourers
6113,"Gardeners, horticultural and nursery growers"
7532,Garment and related pattern-makers and cutters
4110,General office clerks
2211,Generalist medical practitioners
8181,Glass and ceramics plant operators
7315,"Glass makers, cutters, grinders and finishers"
7125,Glaziers
3353,Government social benefits officials
9121,Hand launderers and pressers
9321,Hand packers
7317,"Handicraft workers in wood, basketry and related materials"
7319,Handicraft workers not elsewhere classified
3259,Health associate professionals not elsewhere classified
5321,Health care assistants
2269,Health professionals not elsewhere classified
8332,Heavy truck and lorry drivers
4224,Hotel receptionists
7111,House builders
9999,Housework
3132,Incinerator and water treatment plant operators
7422,Information and communications technology installers and servicers
3511,Information and communications technology operations technicians
2434,Information and communications technology sales professionals
3512,Information and communications technology user support technicians
2356,Information technology trainers
6222,Inland and coastal waters fishery workers
7313,Jewellery and precious-metal workers
2642,Journalists
2612,Judges
2162,Landscape architects
3411,"Legal , and related associate professionals"
2622,Librarians and related information professionals
4411,Library clerks
8344,Lifting truck operators
6121,Livestock and dairy producers
9212,Livestock farm labourers
8311,Locomotive engine drivers
9329,Manufacturing labourers not elsewhere classified
1321,Manufacturing managers
2120,"Mathematicians, actuaries and statisticians"
3115,Mechanical engineering technicians
2144,Mechanical engineers
8211,Mechanical machinery assemblers
3214,Medical and dental prosthetic technicians
3212,Medical and pathology laboratory technicians
3211,Medical imaging and therapeutic equipment technicians
3252,Medical records and health information technicians
3344,Medical secretaries
9621,"Messengers, package deliverers and luggage porters"
8122,"Metal finishing, plating and coating machine operators"
7211,Metal molders and core makers
7224,"Metal polishers, wheel grinders and tool sharpeners"
9623,Meter readers and vending-machine collectors
2222,Midwifery professionals
8112,Mineral and stone processing plant operators
3117,Mining and metallurgical technicians
9311,Mining and quarrying labourers
3121,Mining supervisors
6130,Mixed crop and animal producers
6114,Mixed crop growers
8341,Mobile farm and forestry plant operators
8321,Motorcycle drivers
0210,Non-commissioned armed forces officers
3221,Nursing associate professionals
3341,Office supervisors
2267,Optometrists and ophthalmic opticians
3435,Other artistic and cultural associate professionals
9129,Other cleaning workers
2354,Other music teachers
7131,Painters and related workers
4213,Pawnbrokers and money-lenders
7535,"Pelt dressers, tanners and fell mongers"
5329,Personal care workers in health services not elsewhere classified
5169,Personal services workers not elsewhere classified
4416,Personnel clerks
3134,Petroleum and natural gas refining plant operators
2262,Pharmacists
0343,"Artistic, cultural and culinary associate professionals"
3431,Photographers
8132,Photographic products machine operators
3119,Physical and engineering science technicians not elsewhere classified
2111,Physicists and astronomers
2264,Physiotherapists
3255,Physiotherapy technicians and assistants
7123,Plasterers
8142,Plastic products machine operators
7126,Plumbers and pipe fitters
3355,Police inspectors and detectives
5412,Police officers
2422,Policy administration professionals
1213,Policy and planning managers
3131,Power production plant operators
7311,Precision-instrument makers and repairers
2341,Primary school teachers
7322,Printers
3139,Process control technicians not elsewhere classified
7543,Product graders and testers (excluding foods and beverages)
1349,Professional services managers not elsewhere classified
2634,Psychologists
2432,Public relations professionals
8171,Pulp and papermaking plant operators
3334,Real estate agents and property managers
4226,Receptionists (general)
9612,Refuse sorters
3413,Religious associate professionals
2636,Religious professionals
1412,Restaurant managers
7215,Riggers and cable splices
5242,Sales demonstrators
5249,Sales workers not elsewhere classified
4414,Scribes and related workers
5414,Security guards
1112,Senior government officials
1114,Senior officials of special-interest organizations
5245,Service station attendants
1439,Services managers not elsewhere classified
7533,"Sewing, embroidery and related workers"
7213,Sheet-metal workers
9334,Shelf fillers
3151,Ships' engineers
8156,Shoemaking and related machine operators
7316,"Sign writers, decorative painters, engravers and etchers"
1344,Social welfare managers
2632,"Sociologists, anthropologists and related professionals"
2352,Special needs teachers
3422,"Sports coaches, instructors and officials"
5211,Stall and market salespersons
8189,Stationary plant and machine operators not elsewhere classified
4312,"Statistical, finance and insurance clerks"
3314,"Statistical, mathematical and related associate professionals"
8182,Steam engine and boiler operators
7113,"Stonemasons, stone cutters, splitters and carvers"
9510,Street and related service workers
6310,Subsistence crop farmers
6330,Subsistence mixed crop and livestock farmers
1324,"Supply, distribution and related managers"
5312,Teachers' aides
3522,Telecommunications engineering technicians
2153,Telecommunications engineers
4223,Telephone switchboard operators
8159,"Textile, fur and leather products machine operators not elsewhere classified"
7516,Tobacco preparers and tobacco products makers
7222,Toolmakers and related workers
2164,Town and traffic planners
3324,Trade brokers
2424,Training and staff development professionals
4323,Transport clerks
5111,Travel attendants and travel stewards
5113,Travel guides
6112,Tree and shrub crop growers
5163,Undertakers and embalmers
7541,Underwater divers
3315,Valuers and loss assessors
9122,Vehicle cleaners
2250,Veterinarians
2320,Vocational education teachers
8152,Weaving and knitting machine operators
3514,Web technicians
7523,Woodworking-machine tool setters and operators
3200,"Cranes, hoists, machine-operated lifts, etc."
1150,"Crushing, splitting of stone"
1270,"Crushing, splitting of stone"
1110,"Cutting, sawing"
1120,Drilling
1221,Drilling
1250,Forming
2240,Forming
2252,Grinding
1222,Hammer drilling
1241,Hammering
2231,Hammering
1160,"Hammering, pressing"
3100,"Harness, ropes, etc."
1290,OTHER power-driven tools
2390,OTHER vehicles
1261,Sandblasting
1210,"Sawing, cutting"
1181,Sewing
1281,Sewing
2271,Sewing
2322,Transportation of goods
1183,Weaving carpets
1283,Weaving carpets
2273,Weaving carpets
7810,Activities of employment placement agencies
9900,Activities of extraterritorial organizations and bodies
7010,Activities of head offices
6420,Activities of holding companies
9700,Activities of households as employers of domestic personnel
9492,Activities of political organizations
9412,Activities of professional membership organizations
9312,Activities of sports clubs
9420,Activities of trade unions
5630,Beverage serving activities
9103,Botanical and zoological gardens and nature reserves activities
4330,Building completion and finishing
3011,Building of ships and floating structures
5224,Cargo handling
2431,Casting of iron and steel
6411,Central banking
3811,Collection of non-hazardous waste
8110,Combined facilities support activities
8430,Compulsory social security activities
6202,Computer consultancy and computer facilities management activities
4290,Construction of other civil engineering projects
4210,Construction of roads and railways
4220,Construction ofutility projects
9000,"Creative, arts and entertainment activities"
8542,Cultural education
2396,"Cutting, shaping and finishing of stone"
8422,Defense activities
4311,Demolition
1101,"Distilling, rectifying and blending of spirits"
8550,Educational support activities
4321,Electrical installation
5621,Event catering
0127,Growing of beverage crops
0128,"Growing of spices, aromatic, drug and pharmaceutical crops"
6491,Financial leasing
2591,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
5120,Freight air transport
4912,Freight rail transport
0125,Growing of other tree and bush fruits and nuts
0113,"Growing of vegetables and melons, roots and tubers"
8121,General cleaning of buildings
8411,General public administration activities
8521,General secondary education
0114,Growing of sugar cane
0115,Growing of tobacco
0123,Growing of citrus fruits
0122,Growing of tropical and subtropical fruits
0119,Growing of other non-perennial crops
0121,Growing of grapes
0126,Growing of oleaginous fruits
0112,Growing of rice
0129,Growing of other perennial crops
9602,Hair dressing and other beauty treatment
8530,Higher education
9999,Housework
0124,Growing of pome fruits and stone fruits
5022,Inland freight water transport
3320,Installation of industrial machinery and equipment
8030,Investigation activities
8130,Landscapecare and maintenance service activities
6910,Legal activities
9101,Library and archives activities
2821,Manufacture of agricultural and forestry machinery
0721,Mining of uranium and thorium ores
0810,"Quarrying of stone, sandand clay"
2522,Systems administrators
2511,Systems analysts
0891,Mining of chemical and fertilizer minerals
2145,Chemical engineers
0893,Extraction of salt
892,Extraction of peat
2523,Computer network professionals
0899,Other mining and quarrying n.e.c.
4120,Secretaries (general)
0910,Support activities for petroleum and natural gas extraction
2529,Database and network professionals not elsewhere classified
0990,Support activities for other mining and quarrying
2521,Database designers and administrators
1343,Aged care services managers
0116,Growing of fibre crops
0311,Marine fishing
0111,"Growing of cereals (except rice), leguminous crops and oil seeds"
0210,Silviculture and other forestry activities
0312,Freshwater fishing
1420,Manufacture of articles of fur
2420,Manufacture of basic precious and other non-ferrous metals
2720,Manufacture of batteries and accumulators
2814,"Manufacture of bearings, gears, gearing and driving elements"
3092,Manufacture of bicycles and in valid carriages
2394,"Manufacture of cement, lime and plaster"
2392,Manufacture of clay building materials
2620,Manufacture of computers and peripheral equipment
1394,"Manufacture of cordage, rope, twine and netting"
1702,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard
2593,"Manufacture of cutlery, hand tools and general hardware"
1050,Manufacture of dairy products
2740,Manufacture of electric lighting equipment
2610,Manufacture of electronic components and boards
2012,Manufacture of fertilizers and nitrogen compounds
1520,Manufacture of footwear
3240,Manufacture of games and toys
2310,Manufacture of glass and glass products
2660,"Manufacture of irradiation, electro-medical and electrotherapeutic equipment"
1430,Manufacture of knitted and crocheted apparel
2816,Manufacture of lifting and handling equipment
1074,"Manufacture of macaroni, noodles, couscous and similar farinaceous products"
2825,"Manufacture of machinery for food, beverage and tobacco processing"
2823,Manufacture of machinery for metallurgy
1392,"Manufacture of made-up textile articles, except apparel"
2680,Manufacture of magnetic and optical media
1103,Manufacture of malt liquors and malt
2030,Manufacture of man-made fibres
2651,"Manufacture of measuring, testing, navigating and control equipment"
3250,Manufacture of medical and dental instruments and supplies
3040,Manufacture of military fighting vehicles
2910,Manufacture of motor vehicles
2790,Manufacture of other electrical equipment
2732,Manufacture of other electronic and electric wires and cables
1079,Manufacture of other food products n.e.c.
2219,Manufacture of other rubber products
2829,Manufacture of other special-purpose machinery
2021,Manufacture of pesticides and other agrochemical products
2100,"Manufacture of pharmaceuticals, medicinal chemical and botanical products"
2220,Manufacture of plastics products
2818,Manufacture of power-driven hand tools
1920,Manufacture of refined petroleum products
2211,Manufacture of rubber tyres and tubes;  retreating and rebuilding of rubber tyres
2023,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
3230,Manufacture of sports goods
1062,Manufacture of starches and starch products
2511,Manufacture of structural metal products
1072,Manufacture of sugar
1200,Manufacture of tobacco products
1621,Manufacture of veneer sheets and wood-based panels
2652,Manufacture of watches and clocks
1410,"Manufacture of wearing apparel, except fur apparel"
1623,Manufacture of wooden containers
2812,Manufacture off luid power equipment
3020,Manufacture ofrailway locomotives and rolling stock
2920,Manufactureofbodies(coachwork)formotorvehicles;manufactureoftrailers and semi-trailers
7320,Market research and public opinion polling
3830,Materials recovery
8620,Medical and dental practice activities
0311,Marine fishing
0130,Plant propagation
0142,Raising of horses and other equines
5913,"Motion picture, video and television programme distribution activities"
5911,"Motion picture, video and television programme production activities"
6391,News agency activities
6512,Non-life insurance
8230,Organization of conventions and tradeshows
5590,Other accommodation
6629,Other activities auxiliary to insurance and pension funding
6499,"Other financial service activities, except insurance and pension funding activities,  n.e.c."
7830,Other human resources provision
3290,Other manufacturing n.e.c.
0149,Raising of other animals
4922,Other passenger land transport
7490,"Other professional, scientific and technical activities n.e.c."
5819,Other publishing activities
4799,"Other retail sale not in stores, stalls or markets"
4773,Other retail sale of new goods in specialized stores
9319,Other sports activities
8292,Packaging activities
6530,Pension funding
8219,"Photocopying, document preparation and other specialized office support activities"
7420,Photographic activities
4322,"Plumbing, heat and air-conditioning installation"
0144,Raising of sheep and goats
1311,Preparation and spinning of textile fibres
1811,Printing
8010,Private security activities
1030,Processing and preserving of fruit and vegetables
1010,Processing and preserving of meat
5812,Publishing of directories and mailing lists
0143,Raising of camels and camelids
0141,Raising of cattle and buffaloes
0146,Raising of poultry
0145,Raising of swine/pigs
6810,Reale state activities with own or leased property
8413,Regulation of and contribution to more efficient operation of businesses
3900,Remediation activities and other waste management services
7730,"Renting and leasing of other machinery, equipment and tangible goods"
7710,Renting andleasing of motor vehicles
7722,Renting of video tapes and disks
9512,Repair of communication equipment
9521,Repair of consumer electronics
3313,Repair of electronic and optical equipment
3311,Repair of fabricated metal products
9523,Repair of footwear and leather goods
3312,Repair of machinery
9529,Repair of other personal and household goods
1820,Reproduction of recorded media
